Strain	ReadGroup	Library	Sample	Total	Mapped	Duplicates	LENGTH_ESTIMATE	TEL0	TEL1	TEL2	TEL3	TEL4	TEL5	TEL6	TEL7	TEL8	TEL9	TEL10	TEL11	TEL12	TEL13	TEL14	TEL15	TEL16	GC0	GC1	GC2	GC3	GC4	GC5	GC6	GC7	GC8	GC9	
NIC1152	UNKNOWN		UNKNOWN	75389226	74542049	19599928	7.89666	73384174	1762999	58756	19863	13272	10338	8688	7341	7317	6926	7025	5882	4678	3648	3733	3595	3801	6593845	5286758	3957837	2844398	2046950	1259893	861174	541096	365525	282875	
NIC1153	UNKNOWN		UNKNOWN	61263591	60865814	12727879	9.79232	59634662	1422500	41324	13716	10350	8365	7760	6960	7156	7036	8366	6138	4634	4198	4341	4417	4765	5877878	4691061	3511316	2508537	1757578	1110047	725487	440522	274817	185009	
NIC1155	UNKNOWN		UNKNOWN	63808553	63205477	16816032	9.6296	62102022	1464591	47685	16315	11156	8837	7872	6947	7116	7071	7204	5901	4803	3919	3926	4090	4338	5613330	4484253	3339152	2386485	1719409	1061152	730200	456766	293264	200773	
NIC1156	UNKNOWN		UNKNOWN	43549605	43211519	8146535	9.15429	42364026	1027336	32745	11108	7401	6148	5563	4797	4988	4783	4678	4041	3764	3218	3233	3283	3537	4181266	3360697	2543258	1840478	1307211	824925	544897	332663	213388	161184	
NIC1157	UNKNOWN		UNKNOWN	39644609	39323026	7236444	11.4613	38563897	912111	27464	9159	6572	5629	5036	4527	5081	4765	5195	4591	4004	3763	3662	3838	4209	3761233	3008701	2241960	1611754	1134440	708443	465414	281997	178623	125788	
NIC1160	UNKNOWN		UNKNOWN	72300252	71584677	16711738	9.53811	70344920	1688950	55043	18632	12811	9800	8842	7761	7838	7949	9158	6649	4840	4202	4227	4531	4846	6437004	5112778	3820127	2730371	1942065	1204481	798759	486060	316526	231171	
NIC1161	UNKNOWN		UNKNOWN	25382134	24888019	1582664	11.4513	24744702	533841	18351	6921	5138	4068	3825	3352	3511	3326	3548	3363	3281	3203	3233	3432	3449	2251130	1913664	1496567	1143176	892477	531971	393912	258369	173578	129297	
NIC1163	UNKNOWN		UNKNOWN	53494253	52911465	11684938	9.39364	52068701	1233007	38508	12343	9056	7041	6164	5570	5544	5023	5224	4440	3713	2908	3031	3103	3294	4627322	3642756	2683887	1901238	1336254	820295	547030	339574	222796	161257	
NIC1164	UNKNOWN		UNKNOWN	41683906	41269758	3482081	11.5071	40741563	797222	25458	9199	6806	5788	5488	5214	5534	5282	5486	5267	5196	5192	5278	5244	5321	3678578	3137489	2429296	1830520	1425879	804213	590512	384068	245957	174384	
NIC1165	UNKNOWN		UNKNOWN	31317986	30921981	2178778	11.5791	30553649	641618	21458	7724	5931	5002	4834	4306	4392	4256	4270	4065	3693	3933	4173	4109	4238	2774693	2371608	1850983	1405734	1098485	633679	464912	299740	194253	140459	
NIC1167	UNKNOWN		UNKNOWN	94485365	86040265	20716429	7.4502	92065357	2116215	71160	24074	16869	12373	10802	9004	9078	8378	7833	6570	5242	4605	4462	4715	4944	7775266	6251877	4734864	3471002	2552856	1659375	1231299	902799	768433	788198	
NIC1168	UNKNOWN		UNKNOWN	66687619	64970049	12486976	9.56035	64902975	1517479	46219	15793	11648	9624	9470	8427	8794	8692	10270	7468	5856	5295	5511	6223	6582	6404328	5287460	4090043	3044908	2264749	1437353	982579	607032	383733	265303	
NIC1169	UNKNOWN		UNKNOWN	59610058	59217788	13491453	10.3168	58042673	1352528	42547	14061	10009	8134	7635	6731	6763	7057	8514	5919	4057	3304	3600	3574	3887	5320821	4191052	3082164	2180478	1557155	948617	631020	386292	248471	179431	
NIC1170	UNKNOWN		UNKNOWN	49466997	48522615	11485324	7.80196	48145740	1157810	37320	12787	8684	6669	5843	4943	4842	4693	4595	3886	3113	2683	2690	2681	2798	4379032	3522131	2662882	1937536	1414469	876412	605044	382746	249512	179815	
NIC1175	UNKNOWN		UNKNOWN	66883388	66139729	8667603	13.7321	65013984	1557007	50540	18123	13694	11660	11267	10391	10860	10684	11930	9973	8479	8164	8285	8666	8994	6547992	5285339	3998896	2890017	2068530	1330511	875964	545250	358538	263230	
NIC1176	UNKNOWN		UNKNOWN	58294380	57456954	13482769	8.82762	56760946	1338928	44218	14941	10493	8077	7024	5983	5985	6034	6977	4999	3506	3119	2969	3109	3447	5024667	4021638	3016218	2172925	1572827	956581	649461	405534	266942	192825	
NIC1177	UNKNOWN		UNKNOWN	94462006	90391938	21701447	7.8662	91985417	2158431	67477	22315	15171	11824	10296	9088	8934	8966	9870	7537	5873	4956	5077	5193	5655	8111024	6490305	4885539	3573485	2625854	1752404	1344536	993307	761355	563114	
NIC1179	UNKNOWN		UNKNOWN	27114708	26979597	3346504	14.413	26439539	544242	15582	5664	4282	3741	3671	3284	3640	3456	3770	3511	3539	3705	4148	4709	4879	2425619	2001183	1512728	1098923	824828	472925	330973	206832	129661	89596	
NIC1180	UNKNOWN		UNKNOWN	112269667	110799775	10341627	14.3852	109188186	2611647	88738	31319	23473	19964	18957	17656	18352	18259	19109	16256	14026	13323	13454	13317	13601	10098249	8147791	6158692	4471932	3264755	2030135	1371014	846871	546860	386513	
NIC1181	UNKNOWN		UNKNOWN	92721238	91940461	9314878	13.0332	90295153	2079271	67006	22775	17241	14671	13665	12630	13072	13015	13236	11575	10350	9746	9717	9850	9927	8253490	6653546	5004241	3615999	2623851	1577387	1062220	652685	437858	335658	
NIC1188	UNKNOWN		UNKNOWN	115052638	113688954	14802214	14.3008	111747404	2746651	89560	30398	22834	19829	19217	17379	18281	18509	19441	17415	15669	15014	15075	15175	15773	10844751	8728554	6617887	4821959	3466094	2211326	1465494	893792	588205	432917	
NIC1192	UNKNOWN		UNKNOWN	109899450	109110442	16828242	12.1279	106869944	2546902	77714	26422	19366	16916	15884	14335	14821	14662	15514	14215	12861	12011	12285	12736	13499	10688486	8635868	6534319	4715560	3358600	2107019	1379039	839266	554214	409871	
NIC1193	UNKNOWN		UNKNOWN	69638378	69078791	17505054	9.68888	67864293	1493085	44800	15769	11332	9391	8961	8037	8137	7698	8071	6757	6102	5746	6039	6475	7366	6622577	5462087	4154708	3034711	2211444	1307154	898730	555491	356861	254493	
NIC122	UNKNOWN		UNKNOWN	52632270	52128066	13052769	10.2528	51229423	1205472	39632	12136	8418	7229	6288	6123	6068	5681	6295	5274	4727	3602	3673	3709	3924	4789660	3814767	2839943	2021024	1433435	883550	583693	358204	226892	157804	
NIC124	UNKNOWN		UNKNOWN	80742563	79713645	17989624	9.5494	78564613	1875069	57179	18652	13654	10959	9789	8914	8654	8632	8472	7112	5868	5337	5478	5746	6033	7102787	5699459	4291956	3098563	2218266	1342498	895882	541872	375030	295608	
NIC125	UNKNOWN		UNKNOWN	83270968	82224688	12982360	10.5246	81357218	1582732	58209	22768	17573	15062	15016	13433	13292	12354	12803	11678	10573	10353	10076	10404	10180	7317448	6530594	5290187	4124811	3382949	1912977	1472898	993956	739466	674552	
