Strain	LENGTH_ESTIMATE
QG3861	2.75704
QG3867	2.52643
QG3874	1.88628
QG3875	4.94086
QG3876	1.5667
QG3878	2.63108
QG3920	6.67683
QG3921	6.03795
QG3923	8.10175
QG3924	5.85934
QG3925	6.3768
QG3926	3.52864
QG3927	8.96513
QG3931	7.98816
QG3932	4.33461
QG3933	10.0898
QG4026	2.63702
QG4028	1.46662
QG4031	2.17882
QG4063	2.68891
QG4064	3.10365
QG4067	4.35078
QG4068	4.35301
QG4070	2.87404
QG4093	2.81932
QG4094	4.08967
QG4095	3.03172
QG4096	2.69309
QG4097	9.42211
QG4104	3.15401
QG4114	3.68894
QG4131	3.2394
QG4132	2.42417
QG4208	2.82562
QG4214	3.94304
QG4225	3.64637
QG4232	3.42338
QG4233	3.15124
QG4647	3.3468
QG4648	6.18482
QG4683	4.56125
QG4701	3.59239
QG4706	5.46794
QG4718	3.51074
QG4742	10.1269
QG4805	3.90223
QG4847	6.68363
QG4966	6.46831
QG5348	5.8614
QG5406	5.38698
QG547	7.4822
QG5474	6.12695
QG5488	4.76572
QG550	2.58547
QG5507	6.07274
QG5525	9.0977
QG5589	3.32494
QG5603	3.66823
QG5611	5.65395
QG5612	5.6369
QG5633	8.10929
QG581	4.30916
QG588	4.76259
QG700	4.99906
QG727	5.03513
QG733	3.17873
QG736	6.00555
QG737	5.47994
QG739	5.26839
QG761	4.81885
QG763	10.9815
QG776	3.65739
QG781	2.81169
QG784	3.22157
QG786	6.70301
QG788	3.4702
QG790	4.49692
QG791	9.24448
QG795	5.40115
QG797	3.37121
QG802	3.07052
QG804	6.41337
QG806	4.4529
QG807	3.9883
QG808	9.2819
QG809	3.2561
QG825	6.41673
QG827	2.25791
QG828	6.07151
QG833	4.1097
QG855	4.53433
QG856	7.45658
QG858	4.32241
QG860	3.63011
QG864	6.33252
QG865	5.91772
QG866	4.30538
QG868	5.3386
QG874	6.20586
QG875	14.7278
QG878	6.61742
QG879	6.02898
QG880	8.98492
QG881	2.61978
QG887	6.55351
QG888	10.3478
QG926	6.74401
QG927	10.7535
QG933	12.5886
QG937	7.59752
QG945	8.51711
QG946	9.60877
QG947	5.33963
QG948	9.51419
QG952	12.3856
QG978	5.60437
QG980	1.60161
QG986	5.38165
QG991	3.31987
QG994	8.36916
QG995	4.64984
QG997	3.51489
QG998	9.63733
QR25	5.98144
QX1410	4.86747
QX1547	7.57382
QX1795	7.61133
QX1796	4.73045
QX1798	5.0665
QX1800	4.83
QX1801	2.60861
QX1802	3.57127
QX1803	3.65786
QX1804	3.98474
SOW18	8.28092
SOW21	4.95212
SOW22	3.9632
TT3408	6.62098
TT3411	4.90472
TWN1772	3.6377
TWN1824	2.13314
TWN1899	3.4995
TWN1907	4.55405
TWN2919	2.10482
TWN3077	4.007
UH1	4.35503
VSL2201	8.69993
VSL2207	3.20989
VSL2209	2.15617
VSL2210	5.40506
VSL2212	5.62327
VSL2213	8.88653
VSL2215	3.98013
VSL2216	3.69125
VSL2217	2.31172
VSL2219	4.85203
VT847	2.84265
VX34	5.10632
XZ1204	3.9525
XZ1205	4.85869
XZ1206	4.32946
XZ1207	2.88943
XZ1210	4.04581
XZ1212	4.63834
XZ1213	3.79116
XZ1731	4.30551
XZ1732	3.78492
ZZY0992	7.64032
ZZY1034	4.30319
ZZY1075	5.30031
ZZY1123	7.69161
ZZY1130	5.75463
ZZY405	3.96677
