Strain	ReadGroup	Library	Sample	Total	Mapped	Duplicates	LENGTH_ESTIMATE	TEL0	TEL1	TEL2	TEL3	TEL4	TEL5	TEL6	TEL7	TEL8	TEL9	TEL10	TEL11	TEL12	TEL13	TEL14	TEL15	TEL16	GC0	GC1	GC2	GC3	GC4	GC5	GC6	GC7	GC8	GC9	
BRC20324	UNKNOWN		UNKNOWN	23658464	23569072	2838102	3.0365	22929757	672575	33392	6545	2566	1359	888	778	691	639	674	612	554	616	596	648	690	1850019	1558346	1205133	898226	665537	370332	260429	160989	96945	59468	
BRC20331	UNKNOWN		UNKNOWN	30317891	30168259	3670445	7.2976	29345167	860965	43969	8199	3500	2029	1739	1530	1443	1624	1697	1824	1910	2305	2541	2968	3329	2434972	2053624	1589827	1188520	896658	507639	354499	219873	130710	79063	
BRC20333	UNKNOWN		UNKNOWN	33448110	33256696	4460989	2.54454	32248221	1096005	64802	12943	5153	2606	1718	1375	1118	1141	1352	1046	705	640	721	653	554	3042671	2544936	1999288	1499247	1083268	686857	448775	280158	166961	97000	
BRC20334	UNKNOWN		UNKNOWN	32257367	32002288	3910513	4.11408	31198588	950777	54648	14303	9002	3730	1640	1182	1153	1064	1283	1091	1270	1301	1465	1551	1414	2573278	2170851	1686667	1267761	953187	549787	384431	240780	145969	88750	
BRC20339	UNKNOWN		UNKNOWN	28688549	28523170	4057659	1.83658	27633922	967790	57753	9920	4123	1862	1317	922	622	545	487	506	522	455	467	550	509	2534002	2101557	1645618	1239539	894118	577896	375756	233863	140021	79154	
BRC20341	UNKNOWN		UNKNOWN	77011618	73128941	6068837	4.09485	74268456	2510204	133512	24171	11021	6102	4947	3904	3384	3288	3207	2953	2804	2536	2800	2750	2463	6645767	5368431	4124479	3046467	2188347	1368517	875001	538745	327492	187659	
BRC20343	UNKNOWN		UNKNOWN	54564107	54134350	4268393	5.225	52723174	1673903	85489	16106	6235	4412	3445	2807	2662	2892	3270	2676	2716	2553	2585	2627	2568	4846618	3958713	3044133	2207994	1563899	970436	620242	372857	212709	119693	
BRC20346	UNKNOWN		UNKNOWN	28044420	27834522	3568940	4.15284	27049607	900201	51055	8980	3846	2204	1619	1274	1190	1150	1137	1203	1228	1269	1321	1397	1243	2540496	2122474	1655200	1227386	882374	564378	370887	233241	139807	81451	
BRC20347	UNKNOWN		UNKNOWN	59696921	59293057	5599093	4.11384	57648019	1873137	100028	17847	8619	4771	3443	3098	2946	2539	2913	2501	2320	2215	2101	2078	1868	5309775	4359302	3388752	2486838	1778171	1113937	719820	436791	252992	142721	
BRC20348	UNKNOWN		UNKNOWN	74226393	73711521	6937888	6.75234	71663302	2301586	121017	21731	11094	7725	6813	5275	5360	5019	5062	5175	5131	4922	5409	5735	5160	7006165	5799736	4473470	3266983	2310532	1434997	929938	564763	332513	189476	
BRC20353	UNKNOWN		UNKNOWN	24182835	24118183	3481286	2.94586	23390126	728934	36739	6355	2698	1435	971	819	836	696	682	780	702	701	654	682	669	2012733	1697151	1328364	997437	744629	441912	306533	192697	117226	70797	
BRC20360	UNKNOWN		UNKNOWN	25779659	25718588	3604138	2.00631	24907124	805464	43367	7612	3294	1582	926	726	627	552	489	507	536	474	441	457	406	2178817	1829783	1428716	1069430	786793	471417	322051	202140	122874	74240	
BRC20361	UNKNOWN		UNKNOWN	36676601	36581636	5238962	1.91358	35446250	1135523	59946	10388	4198	2016	1148	892	754	792	645	652	647	638	579	721	741	3105689	2618045	2044064	1519816	1116897	669254	462581	289188	174772	102361	
BRC20362	UNKNOWN		UNKNOWN	36434194	36342799	5818194	3.22273	35227209	1110731	56842	10224	4484	2645	1851	1630	1791	1741	2066	1357	734	713	674	718	698	3119723	2629970	2057087	1542045	1140958	679782	465436	295125	178409	104561	
BRC20366	UNKNOWN		UNKNOWN	84781595	78423007	5849757	4.41414	81786394	2748769	144471	25419	11956	7388	6355	4765	4089	3773	3776	3183	3085	2788	3025	3206	2406	7458390	6001179	4542556	3283740	2295425	1443569	931227	571999	343816	198761	
BRC20367	UNKNOWN		UNKNOWN	72871297	72094172	6644834	3.34548	70286853	2371438	128857	22248	8583	4718	3134	2494	2296	2084	2162	2194	2302	2439	2728	2588	2378	6353781	5190965	4005301	2949487	2106399	1317696	848161	515823	303410	172274	
BRC20369	UNKNOWN		UNKNOWN	42896478	42804471	3168176	6.93817	41382940	1371503	68952	12048	5682	3672	3434	3157	2823	3372	2785	2990	2559	2664	2592	2453	2391	3772502	3068847	2351629	1709108	1193383	745175	475183	283779	167112	90902	
BRC20370	UNKNOWN		UNKNOWN	56910223	56440502	4289009	7.31969	54912758	1791878	96876	18262	11979	6919	5102	4624	4356	4028	4163	3879	3940	3739	3558	3652	3135	4944313	4032699	3084993	2247303	1595618	988385	633503	384110	226827	130450	
BRC20388	UNKNOWN		UNKNOWN	25383635	25206806	3771921	3.54348	24554128	756322	39780	8514	3266	2610	1633	1113	1109	1167	1052	1188	806	807	730	715	689	2184546	1844632	1446208	1089182	800252	480558	323429	200375	122169	74945	
BRC20390	UNKNOWN		UNKNOWN	120518068	119684806	12830780	3.46936	116306867	3866484	206924	35730	14568	8504	6454	5156	4466	4426	5507	3953	3256	3468	3769	3441	3146	10802782	8825423	6780130	4943703	3472946	2190047	1396631	844324	499139	284377	
BRC20401	UNKNOWN		UNKNOWN	36065628	35940458	5063058	5.46008	35008320	961413	44309	7885	3339	2202	2160	1954	2015	2079	2573	2227	1644	1710	1780	1990	1684	2914613	2489905	1942842	1465855	1111180	631404	453160	289387	177738	109195	
BRC20463	UNKNOWN		UNKNOWN	36202319	35938264	3255970	4.85557	35075566	1013820	52352	9375	4183	2830	2604	2312	2257	2520	2944	2236	2154	2264	2539	3254	2479	3505370	3137018	2575464	2018327	1542165	946034	672612	429970	264146	163517	
BRC20492	UNKNOWN		UNKNOWN	29411099	29198345	2260446	4.60145	28488885	834291	42643	7412	3489	2232	2040	1967	1878	1800	2040	1621	1609	1543	1630	1485	1531	2768080	2424783	1948358	1489488	1124675	674613	477620	302658	185359	111148	
BRC20498	UNKNOWN		UNKNOWN	43084327	43021275	3808005	3.91736	41688631	1266010	65215	12307	5265	3061	2473	2483	2174	2098	2387	2130	2039	1923	2153	2227	1932	3930654	3451417	2794646	2177930	1666349	996038	703754	445773	273667	161579	
BRC20499	UNKNOWN		UNKNOWN	37921293	37264024	3294025	2.9457	36747745	1077150	52872	8988	3889	2309	1834	1359	1364	1309	1440	1317	1307	1363	1366	1419	1376	3481692	3018173	2406918	1838627	1391047	847091	608802	399403	256114	165674	
BRC20501	UNKNOWN		UNKNOWN	41428644	41052159	4599117	6.39611	40195009	1116278	51535	9562	4177	2516	2575	2301	2442	2472	2972	2762	2940	2855	3130	3428	2644	3404304	2928304	2300145	1753121	1342679	772278	565495	365471	229236	143141	
BRC20502	UNKNOWN		UNKNOWN	39653563	32898672	2655786	3.28249	38416031	1134995	51781	8389	3352	1786	1331	1106	1122	1250	1178	1405	1360	1542	1637	1809	1830	3665561	3028416	2332013	1735664	1293833	805948	566559	358299	223560	131215	
BRC20503	UNKNOWN		UNKNOWN	33340759	33161729	2658124	3.76291	32301911	941825	46230	7474	3281	1752	1312	1195	1125	1337	1266	1359	1444	1603	1803	1894	2197	3009507	2629033	2110009	1619647	1233515	724764	509319	317844	193988	113906	
BRC20519	UNKNOWN		UNKNOWN	28132946	27839620	2190574	4.22853	27255511	795664	38768	7164	3044	1808	1608	1311	1377	1313	1474	1338	1377	1437	1561	1593	1639	2564729	2225994	1782913	1364972	1035050	615670	438213	278887	169832	102434	
BRC20520	UNKNOWN		UNKNOWN	34794395	34608793	2704946	4.19079	33713259	986425	49651	8849	4069	2554	2180	2108	2146	2032	2597	1587	1365	1211	1328	1343	1291	3193634	2764644	2196670	1658591	1236837	727675	510235	320070	193967	117956	
