Strain	ReadGroup	Library	Sample	Total	Mapped	Duplicates	LENGTH_ESTIMATE	TEL0	TEL1	TEL2	TEL3	TEL4	TEL5	TEL6	TEL7	TEL8	TEL9	TEL10	TEL11	TEL12	TEL13	TEL14	TEL15	TEL16	GC0	GC1	GC2	GC3	GC4	GC5	GC6	GC7	GC8	GC9	
ECA1257	UNKNOWN		UNKNOWN	29360976	29010503	4752663	10.4199	28374442	855389	40555	18098	13272	9706	7596	6152	4596	3771	2575	1690	1351	1084	848	875	892	2004873	1627081	1258009	925152	674472	432737	297138	191461	121003	74724	
ECA1260	UNKNOWN		UNKNOWN	35585874	35300500	6864434	12.7636	34381180	1027788	49978	22504	16530	12741	10359	8061	6585	4874	3563	2597	2009	1651	1537	1430	1599	2441970	1990135	1523404	1113083	798086	487800	330578	205862	127567	78644	
ECA1261	UNKNOWN		UNKNOWN	22160678	21979312	3371789	12.0178	21401742	652857	33204	15033	11114	7896	6806	5132	4063	2998	2098	1596	1069	788	678	665	618	1509241	1225187	941874	683988	490704	302981	202133	126383	78272	48154	
ECA1269	UNKNOWN		UNKNOWN	29357546	28294108	4315234	10.1661	28372397	846326	42534	19198	14269	10928	8906	6986	5558	4034	2718	2024	1468	1039	940	797	882	1959492	1619800	1265730	958009	744392	514827	400867	287383	193614	120957	
ECA1271	UNKNOWN		UNKNOWN	25597548	25410018	3857149	12.312	24733816	743812	35486	15860	11641	8358	7235	5452	4517	3322	2397	1716	1283	972	988	836	886	1706193	1381046	1051991	761023	544938	334520	225876	140968	86289	53750	
ECA1276	UNKNOWN		UNKNOWN	34140491	33722849	5784571	9.99882	33003606	995964	48590	21342	15875	11556	9710	7152	5634	4051	2810	1933	1279	916	614	552	468	2323907	1880918	1443108	1043922	753098	476991	325660	208270	129341	78614	
ECA1278	UNKNOWN		UNKNOWN	30158174	29913550	5038498	10.6741	29143486	877258	43483	19342	14810	10734	8909	7142	5419	3997	2768	2031	1351	1101	804	677	702	2127623	1747900	1359794	996329	725477	453235	304758	190842	117073	71403	
ECA1281	UNKNOWN		UNKNOWN	44998673	44680992	7839191	13.1442	43458470	1311456	66013	29821	22100	15874	14386	10748	8599	6678	4724	3650	2613	2133	1793	1767	1869	3149856	2558101	1959596	1419010	1016519	624996	412928	256252	157879	97496	
ECA1283	UNKNOWN		UNKNOWN	39564544	39262703	7082837	15.0134	38194984	1142747	57701	25774	19226	14105	12424	9935	7990	5893	4714	3504	2929	2352	2214	2257	2390	2716449	2210610	1687665	1222140	885468	538906	362894	228723	140759	88277	
ECA1284	UNKNOWN		UNKNOWN	37189110	36914131	6176644	15.2994	35875540	1084577	56742	25151	17857	13028	11620	9055	7223	5420	4384	3489	2794	2400	2224	2328	2466	2513126	2043354	1560234	1131052	817825	504153	335573	207651	126992	78652	
ECA1286	UNKNOWN		UNKNOWN	42151863	41793564	6973247	12.0484	40723585	1226160	64547	28541	20902	15304	13370	10397	7877	5865	4077	2864	2276	1500	1161	1047	1183	2950444	2403092	1839470	1329245	950517	586099	396003	248156	150446	93244	
ECA1287	UNKNOWN		UNKNOWN	29396407	29141019	4801483	12.8543	28392449	851971	43985	19908	14801	10846	8898	6909	5388	4183	3027	2286	1644	1326	1166	1174	1213	1970919	1608108	1242450	908261	661130	405173	277750	176318	108435	68164	
ECA1288	UNKNOWN		UNKNOWN	53206020	52632449	9543251	13.3945	51411123	1529819	73451	33326	23956	18647	15754	12057	9939	7582	5490	4016	3142	2582	2327	2283	2377	3679610	2963128	2262058	1632482	1157868	713931	475709	301404	189665	121475	
ECA1289	UNKNOWN		UNKNOWN	34672344	34101920	6337657	12.4019	33497252	1010492	48748	21457	15514	11595	9726	7728	6078	4716	3297	2300	1725	1399	1311	1246	1375	2272271	1837875	1406721	1022807	740139	476655	336429	222758	140613	87050	
ECA1293	UNKNOWN		UNKNOWN	57262923	56803033	10077570	11.2072	55315855	1684855	83096	37072	27547	19877	16345	12770	9971	7530	5056	3695	2775	1939	1520	1447	1453	4008544	3255258	2487492	1805335	1282407	797541	531421	330549	201510	123116	
ECA1298	UNKNOWN		UNKNOWN	51776324	51518142	9654057	13.0956	50048350	1468895	70732	31445	23707	17558	14684	11293	9242	7277	5271	4035	2980	2535	2311	2393	2398	3620289	2919629	2231818	1604098	1145142	693229	456957	280616	171273	106568	
ECA1316	UNKNOWN		UNKNOWN	67744144	67539144	5447897	17.9139	65633795	1711724	83978	40372	30002	24021	20446	16575	14724	12743	11183	10422	9701	9730	10414	10068	10284	4966887	4222462	3346933	2537749	1975539	1154724	816451	520033	325143	210126	
ECA1409	UNKNOWN		UNKNOWN	47694544	47160297	4381183	8.57026	46271748	1212777	69860	35093	25653	18168	14595	10730	7867	5719	3761	2696	1969	1564	1229	1273	1114	3254606	2837670	2276754	1737169	1366563	775315	575532	374838	236158	156535	
ECA1413	UNKNOWN		UNKNOWN	37709123	37278659	6798189	11.0986	36450296	1086546	51906	23030	17254	12951	10923	8029	6452	5224	3645	2664	1983	1452	1289	1333	1240	2642949	2159933	1669209	1227155	891921	560923	387441	252334	157381	97096	
ECA1493	UNKNOWN		UNKNOWN	43880418	37181375	7167344	9.85271	42500196	1188514	65059	29205	21362	16264	12600	9825	8173	5795	3943	2770	1706	1131	828	763	684	2842755	2368612	1871155	1403680	1049082	700812	529297	420323	401127	483006	
ECA1693	UNKNOWN		UNKNOWN	24628967	24471390	1445366	26.8278	23673188	705177	42694	20791	16672	14423	12891	11672	10383	9244	7903	7061	6508	5972	5714	5582	5131	1955485	1699235	1380737	1057377	825070	531235	357671	230977	153186	102141	
ECA1713	UNKNOWN		UNKNOWN	36884261	35986180	2531271	13.6218	35648819	1002442	58740	28521	20331	16275	13879	11444	9689	7672	6369	5126	4557	3810	3414	3082	3195	2976083	2562843	2088052	1608668	1258204	815577	583310	392441	260019	184350	
ECA1717	UNKNOWN		UNKNOWN	36210463	33478124	2187409	14.9616	34993929	968290	53324	25552	20539	15960	15168	12530	10880	8811	7015	6043	5243	4681	4359	4027	3881	2809698	2446624	2012565	1579450	1274110	908778	701831	522504	380660	296999	
ECA1725	UNKNOWN		UNKNOWN	43144337	42649799	3073420	9.77697	41863822	1084608	60013	30793	21944	15982	12373	9262	6928	5315	3778	3022	2507	2215	2117	2168	1960	2932514	2549269	2029120	1558220	1239421	704938	523403	339616	214589	138988	
ECA1751	UNKNOWN		UNKNOWN	52220799	51558484	3892580	35.5746	50075265	1433907	89570	45453	39761	35679	34183	31408	28323	26645	23697	22350	21054	19978	19225	18691	18205	4314225	3771988	3064517	2371401	1900499	1223306	847234	557046	363148	240225	
ECA1757	UNKNOWN		UNKNOWN	43795816	43547737	9763266	10.8515	42369637	1218712	62080	29663	21020	16265	13395	10474	7929	6073	4426	2882	2387	1983	1717	1524	1696	3292639	2746982	2133262	1569903	1144949	688017	468520	292030	181859	113182	
