Strain	LENGTH_ESTIMATE
WN2217	9.24189
WN2238	9.99726
XZ1513	15.8298
XZ1514	8.09558
XZ1515	9.30667
XZ1516	5.24279
XZ1672	20.6806
XZ1734	10.2848
XZ1735	9.35894
XZ1756	10.4478
XZ2018	12.9989
XZ2019	15.2116
XZ2020	28.5846
XZ2211	11.6451
